
code,longitude,bathrooms,garage,price_by_sqm,condominio,rent,agent_number,area,agent,district,rooms,iptu,url,suites,latitude,price,title,condominium_fee,address,area_total
,-34.897667,,,,,,,70,,,,R$ 130,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-70m2-venda-RS280000-id-77641489/,,-8.109876,280000,"Apartamento na Rua Luís de Farias Barbosa, 201, Boa Viagem em Recife, por R$ 280.000 - VivaReal",R$ 520,"Rua Luís de Farias Barbosa, 201 - Boa Viagem, Recife - PE",
,-34.900687,,,,,,,76,,,,R$ 1.630,https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-76m2-venda-RS250000-id-85131042/,,-8.126614,250000,"Apartamento na Rua Desembargador João Paes, 197, Boa Viagem em Recife, por R$ 250.000 - VivaReal",R$ 420,"Rua Desembargador João Paes, 197 - Boa Viagem, Recife - PE",
,-34.896103,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/beach-class-santa-maria-6687/,,-8.111634,,"Lançamento Moura Dubeux Beach Class Santa Maria - Apartamento - Boa Viagem, Recife - VivaReal",,,
,,,,,,,,72,,,,R$ 120,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-72m2-venda-RS410000-id-88016470/,,,410000,"Apartamento 72 m² em Boa Viagem em Recife, por R$ 410.000 - VivaReal",R$ 300,"Boa Viagem, Recife - PE",
,-34.899021,,,,,,,95,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-95m2-venda-RS580000-id-86345038/,,-8.116145,580000,"Apartamento na Rua Félix de Brito e Melo, 200, Boa Viagem em Recife, por R$ 580.000 - VivaReal",,"Rua Félix de Brito e Melo, 200 - Boa Viagem, Recife - PE",
,-34.896246,,,,,,,43,,,,,https://www.vivareal.com.br/imovel/flat-1-quartos-boa-viagem-bairros-recife-com-garagem-43m2-venda-RS580000-id-76878064/,,-8.122194,580000,"Flat na Avenida Boa Viagem, 3738, Boa Viagem em Recife, por R$ 580.000 - VivaReal",R$ 300,"Avenida Boa Viagem, 3738 - Boa Viagem, Recife - PE",
,-34.896992,,,,,,,300,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-300m2-venda-RS2500000-id-80938020/,,-8.124517,2500000,"Apartamento na Avenida Boa Viagem, 4000, Boa Viagem em Recife, por R$ 2.500.000 - VivaReal",R$ 1.350,"Avenida Boa Viagem, 4000 - Boa Viagem, Recife - PE",
,-34.888435,,,,,,,300,,,,R$ 10.000,https://www.vivareal.com.br/imovel/apartamento-5-quartos-boa-viagem-bairros-recife-com-garagem-300m2-venda-RS3150000-id-81040376/,,-8.107877,3150000,"Apartamento na Avenida Boa Viagem, 1958, Boa Viagem em Recife, por R$ 3.150.000 - VivaReal",R$ 1.850,"Avenida Boa Viagem, 1958 - Boa Viagem, Recife - PE",
,-34.901583,,,,,,,88,,,,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-88m2-venda-RS239000-id-86691155/,,-8.136029,239000,"Apartamento na Avenida Boa Viagem, 700, Boa Viagem em Recife, por R$ 239.000 - VivaReal",R$ 580,"Avenida Boa Viagem, 700 - Boa Viagem, Recife - PE",
,-34.89614289999997,,,,,,,,,,,,https://www.vivareal.com.br/imoveis-lancamento/beach-class-hotels-e-residence-6659/,,-8.118702599999999,,"Lançamento Moura Dubeux Beach Class Hotels e Residence - Boa Viagem, Recife - VivaReal",,,
,-34.902729,,,,,,,102,,,,R$ 220,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-102m2-venda-RS799000-id-85682284/,,-8.116615,799000,"Apartamento na Rua Padre Carapuceiro, 850, Boa Viagem em Recife, por R$ 799.000 - VivaReal",R$ 600,"Rua Padre Carapuceiro, 850 - Boa Viagem, Recife - PE",
,-34.892892,,,,,,,137,,,,,https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-137m2-venda-RS760000-id-84503185/,,-8.107581,760000,"Apartamento na Rua Aviador Severiano Lins, 140, Boa Viagem em Recife, por R$ 760.000 - VivaReal",,"Rua Aviador Severiano Lins, 140 - Boa Viagem, Recife - PE",
,-34.89593,,,,,,,30,,,,,https://www.vivareal.com.br/imovel/flat-1-quartos-boa-viagem-bairros-recife-com-garagem-30m2-venda-RS230000-id-84069887/,,-8.111611,230000,"Flat na Rua Doutor Pedro de Melo Cahú, 201, Boa Viagem em Recife, por R$ 230.000 - VivaReal",,"Rua Doutor Pedro de Melo Cahú, 201 - Boa Viagem, Recife - PE",
